id,Sex,Length,Diameter,Height,Weight,Age,price
24191,I,0.8875,0.6875,0.2125,7.1157245,6,6.00
24192,F,1.375,1.0625,0.4125,21.27629975,9,9.00
24193,F,1.3375,1.05,0.3625,22.89222125,13,8.00
24194,F,1.4375,1.0875,0.3875,26.54930675,10,8.00
24195,F,1.2125,1,0.3125,16.42853525,9,6.00
24196,F,1.6125,1.2625,0.4375,37.74735925,20,5.00
24197,M,1.55,1.1875,0.325,32.98464325,9,7.00
24198,M,1.525,1.2,0.375,31.6096925,10,5.00
24199,F,1.55,1.175,0.425,38.22930075,9,6.00
24200,I,0.875,0.65,0.225,6.30776375,6,5.00
24201,I,0.825,0.5375,0.175,3.4302895,6,7.00
24202,M,1.35,1.0375,0.4,18.24290325,8,5.00
24203,M,1.65,1.2625,0.5,36.967748,10,8.00
24204,M,1.275,0.9625,0.25,14.0330025,7,8.00
24205,M,0.95,0.7625,0.25,6.23689,6,10.00
24206,M,1.6875,1.25,0.4375,49.22890675,14,6.00
24207,I,1.025,0.8,0.2375,9.298636,7,8.00
24208,I,0.9,0.6875,0.2,6.39281225,7,6.00
24209,I,1.4375,1.1125,0.325,24.36639525,8,6.00
24210,M,1.5,1.1875,0.4625,29.1149365,16,9.00
24211,I,0.9,0.675,0.2,5.71242425,7,7.00
24212,I,1.2875,0.9375,0.3125,16.8679525,9,6.00
24213,M,1.525,1.2125,0.4125,34.6147395,13,9.00
24214,M,1.4625,1.175,0.425,30.63163475,13,8.00
24215,M,1.4625,1.125,0.3125,26.12406425,8,7.00
24216,I,0.925,0.6875,0.2375,6.30776375,6,9.00
24217,I,0.7375,0.5375,0.2375,7.1157245,7,9.00
24218,I,0.7,0.525,0.15,2.31048425,4,5.00
24219,F,1.425,1.125,0.4,28.44872325,10,10.00
24220,M,1.5125,1.0875,0.3875,31.808139,13,5.00
24221,I,0.6875,0.5375,0.175,3.3168915,6,5.00
24222,M,1.6,1.225,0.4375,41.8722115,11,5.00
24223,M,1.425,1.1125,0.375,27.03124825,8,5.00
24224,F,1.3625,1.075,0.375,23.43086175,18,9.00
24225,I,1.25,0.9625,0.3,16.9246515,12,7.00
24226,M,1.6125,1.25,0.4375,35.76289425,9,5.00
24227,M,1.425,1.1375,0.3875,29.44095575,14,7.00
24228,I,1.1875,0.9375,0.3125,13.721158,9,7.00
24229,F,1.1875,0.975,0.3625,16.2442635,17,9.00
24230,F,1.55,1.225,0.475,37.98833,18,8.00
24231,M,1.45,1.125,0.5,33.89182725,7,8.00
24232,F,1.525,1.1875,0.425,30.5324115,10,10.00
24233,I,0.825,0.625,0.2125,4.80524025,6,5.00
24234,I,1.2625,1,0.3875,21.829115,9,6.00
24235,F,1.075,0.8375,0.2625,12.133586,9,10.00
24236,M,1.525,1.125,0.375,31.2694985,10,6.00
24237,M,1.35,1.0875,0.35,24.87668625,9,7.00
24238,I,0.525,0.375,0.1125,1.304077,5,8.00
24239,F,1.3125,1.0125,0.375,24.6357155,8,10.00
24240,M,1.1,0.8625,0.35,13.0124205,12,5.00
24241,F,1.3875,1.1,0.3625,23.91280325,15,5.00
24242,M,1.15,0.9125,0.3,14.18892475,10,10.00
24243,M,1.4875,1.2,0.4,29.48348,13,9.00
24244,I,1.2625,0.9625,0.325,15.15280775,9,10.00
24245,M,1.625,1.275,0.425,38.82464025,10,5.00
24246,I,1.325,1.0625,0.3,19.29183475,9,9.00
24247,F,1.5625,1.3125,0.5,46.45065575,13,5.00
24248,I,0.6125,0.4375,0.15,1.60174675,4,10.00
24249,F,1.25,1,0.35,18.24290325,17,5.00
24250,I,1.2,0.9375,0.3125,16.37183625,8,9.00
24251,F,1.4375,1.1625,0.425,26.29416125,11,8.00
24252,I,0.925,0.6375,0.2,5.3013565,6,6.00
24253,I,0.725,0.525,0.175,3.005047,5,5.00
24254,I,1.25,0.8625,0.3125,15.83319575,8,5.00
24255,F,1.15,0.8875,0.325,14.004653,14,8.00
24256,F,1.6125,1.2,0.4125,31.22697425,11,9.00
24257,M,1.175,0.9,0.3125,15.49300175,7,9.00
24258,M,1.575,1.1875,0.4,35.02580725,13,9.00
24259,I,0.85,0.625,0.2,5.00368675,6,6.00
24260,M,1.175,0.9625,0.3125,15.37960375,11,9.00
24261,M,0.7875,0.575,0,4.819415,7,9.00
24262,F,1.5625,1.225,0.4125,34.79901125,15,10.00
24263,M,1.425,1.125,0.4125,24.84833675,9,5.00
24264,F,1.725,1.35,0.4375,46.379782,10,8.00
24265,F,1.375,1.0875,0.35,23.54425975,12,6.00
24266,I,1.1,0.85,0.25,11.509897,9,10.00
24267,F,1.525,1.25,0.4125,29.27085875,13,8.00
24268,I,1.025,0.75,0.225,7.98038425,6,8.00
24269,M,1.5625,1.1875,0.4125,38.11590275,17,6.00
24270,F,0.9,0.675,0.35,6.0951425,7,6.00
24271,M,0.6875,0.5125,0.1625,2.608154,11,6.00
24272,M,1.375,1.075,0.4,22.97726975,9,9.00
24273,I,1.075,0.8375,0.25,10.33339275,9,5.00
24274,I,1.1875,0.9,0.325,16.68368075,8,9.00
24275,I,0.8875,0.6875,0.2375,6.2085405,12,7.00
24276,M,1.3125,1,0.325,23.99785175,8,6.00
24277,M,1.65,1.2875,0.4125,44.74968575,9,6.00
24278,F,1.35,1,0.4,20.93610575,9,10.00
24279,M,1.375,1.1,0.3875,28.22192725,11,9.00
24280,M,1.3625,1.05,0.35,20.76600875,8,10.00
24281,M,1.5625,1.1625,0.4375,32.04910975,9,5.00
24282,I,0.8375,0.625,0.2125,5.31553125,8,7.00
24283,F,1.525,1.2,0.4375,31.864838,12,9.00
24284,I,1.0875,0.8,0.275,10.6877615,7,8.00
24285,I,1.8625,1.4625,0.525,57.606184,17,6.00
24286,M,1.575,1.225,0.4125,34.60056475,11,10.00
24287,M,1.8375,1.4875,0.55,60.6962795,11,5.00
24288,F,1.2875,1.0125,0.35,18.71067,11,6.00
24289,I,0.6875,0.5125,0.2,3.04757125,5,9.00
24290,I,1.1,0.9,0.2625,12.6722265,10,6.00
24291,I,1.1625,0.8875,0.275,11.5382465,8,9.00
24292,M,1.4875,1.15,0.4875,31.59551775,13,5.00
24293,F,1.775,1.425,0.5,53.6089045,13,6.00
24294,M,0.9375,0.7125,0.2625,7.95203475,13,5.00
24295,I,0.725,0.525,0,3.55786225,4,10.00
24296,F,1.325,1.075,0.4125,22.92057075,22,5.00
24297,I,1.05,0.75,0.225,8.5898985,7,7.00
24298,F,1.7,1.4625,0.5125,45.71356875,11,9.00
24299,M,1.4375,1.1375,0.3875,26.54930675,13,10.00
24300,M,1.6,1.3125,0.4375,33.26813825,9,9.00
24301,F,1.25,0.95,0.325,15.12445825,13,7.00
24302,M,1.3,0.975,0.3375,16.9246515,16,9.00
24303,M,1.5125,1.2,0.4375,34.529691,10,6.00
24304,M,1.4125,1.075,0.4,22.509503,9,9.00
24305,M,1.3625,1.125,0.3,22.5378525,9,7.00
24306,M,1.5625,1.225,0.4125,34.2178465,12,8.00
24307,I,0.9375,0.7,0.2125,3.81300775,7,9.00
24308,F,1.1375,0.85,0.325,13.267566,10,6.00
24309,I,1.1875,0.8875,0.35,12.09106175,8,6.00
24310,I,1.0875,0.825,0.275,10.73028575,9,5.00
24311,I,0.825,0.6375,0.225,5.783298,7,8.00
24312,F,1.425,1.075,0.3625,24.8625115,6,8.00
24313,I,1.025,0.7625,0.2375,7.95203475,7,8.00
24314,I,0.7375,0.575,0.175,5.556502,6,9.00
24315,I,1.15,0.875,0.2625,10.886208,9,7.00
24316,I,1.2375,0.9375,0.3125,15.43630275,9,7.00
24317,I,0.6875,0.5,0.2,2.8066005,5,8.00
24318,F,1.575,1.275,0.4875,36.967748,10,5.00
24319,F,1.225,0.95,0.3625,15.5071765,10,10.00
24320,I,0.9375,0.75,0.25,7.55514175,7,10.00
24321,I,1.2125,0.9375,0.375,18.597272,13,10.00
24322,I,0.95,0.775,0.2375,8.7599955,7,7.00
24323,I,0.4625,0.3,0.1,0.8221355,4,6.00
24324,M,1.5,1.125,0.4625,30.83008125,14,7.00
24325,M,1.4125,1.1,0.375,24.73493875,11,10.00
24326,I,1.25,0.9625,0.35,15.94659375,9,8.00
24327,I,1.4,1.075,0.3875,20.184844,9,10.00
24328,I,1.4125,1.1,0.3625,24.5223175,11,10.00
24329,F,1.375,1.0375,0.4125,21.9708625,9,9.00
24330,I,1.025,0.7625,0.2375,10.0073735,6,8.00
24331,I,1.1625,0.875,0.3375,12.303683,8,9.00
24332,M,1.4375,1.125,0.4125,26.0531905,18,10.00
24333,F,1.525,1.25,0.375,36.27318525,8,8.00
24334,M,1.2,0.8875,0.4,18.257078,9,9.00
24335,M,1.2625,0.975,0.3375,17.19397175,9,5.00
24336,I,1.275,1.05,0.4125,23.7285315,10,7.00
24337,F,1.6125,1.3125,0.5375,42.184056,21,5.00
24338,F,1.55,1.2,0.375,36.61337925,9,6.00
24339,M,0.875,0.6375,0.1875,5.783298,7,6.00
24340,F,1.4,1.1,0.3625,28.02348075,9,7.00
24341,I,1.175,0.85,0.3125,11.7650425,9,7.00
24342,I,0.525,0.375,0.1125,1.31825175,6,8.00
24343,F,1.425,1.125,0.325,26.138239,8,5.00
24344,F,0.9375,0.725,0.2,6.1518415,10,10.00
24345,M,1.4875,1.1375,0.4125,26.52095725,8,9.00
24346,F,1.1625,0.8875,0.35,15.87572,9,5.00
24347,F,1.5625,1.2375,0.4375,37.23706825,11,10.00
24348,M,1.4,1.1,0.4125,26.32251075,15,10.00
24349,M,1.25,0.975,0.3375,15.12445825,11,10.00
24350,M,1.8125,1.4875,0.4625,49.22890675,11,9.00
24351,M,1.675,1.2625,0.45,39.972795,9,7.00
24352,F,1.3,1,0.35,20.17066925,11,5.00
24353,I,1.0875,0.8625,0.275,10.77281,8,5.00
24354,F,1.3125,1.0125,0.3625,22.169309,10,6.00
24355,I,0.925,0.7375,0.25,6.7188315,6,8.00
24356,F,1.4875,1.1875,0.475,30.71668325,8,9.00
24357,M,1.3625,1.05,0.35,22.1976585,11,10.00
24358,I,1.1875,0.8875,0.2875,13.551061,8,10.00
24359,M,1.4375,1.15,0.325,27.895908,9,10.00
24360,M,1.5375,1.175,0.4375,37.03862175,12,8.00
24361,I,1.2875,0.9625,0.2625,17.7184375,9,7.00
24362,I,1.175,0.9375,0.3625,14.35902175,13,10.00
24363,M,1.525,1.25,0.4375,31.08522675,17,7.00
24364,F,1.575,1.2125,0.4375,36.457457,16,5.00
24365,M,1.6875,1.3125,0.475,36.5425055,11,9.00
24366,I,1.2625,0.975,0.3125,18.58309725,8,10.00
24367,M,1.3125,1.0625,0.375,19.09338825,11,8.00
24368,M,1.4,1.1125,0.4,24.8058125,10,7.00
24369,F,1.3125,1.025,0.35,19.4038725,15,9.00
24370,F,1.1,0.875,0.3375,10.02154825,10,7.00
24371,M,1.3125,0.9625,0.325,20.19901875,14,8.00
24372,F,1.1875,0.925,0.2875,16.71203025,8,8.00
24373,I,0.725,0.5625,0.1875,3.27436725,5,6.00
24374,M,1.325,1.075,0.3875,23.28911425,18,10.00
24375,M,1.55,1.2,0.4,34.23202125,11,8.00
24376,M,1.45,1.0875,0.3875,25.911443,14,10.00
24377,M,1.55,1.1875,0.4625,35.62114675,16,10.00
24378,I,1.1625,0.8875,0.2875,12.68640125,8,7.00
24379,F,1.3375,1.025,0.4375,23.85610425,14,5.00
24380,F,1.5125,1.15,0.375,29.7386255,15,7.00
24381,M,1.875,1.375,0.4875,55.46579675,10,8.00
24382,F,1.5375,1.2,0.4125,33.5374585,14,9.00
24383,F,1.375,1.075,0.3375,20.3265915,10,8.00
24384,F,1.675,1.2625,0.4,38.8104655,10,9.00
24385,F,1.6875,1.325,0.425,43.02036625,11,6.00
24386,M,1.675,1.35,0.45,45.91201525,13,9.00
24387,I,1.25,0.95,0.3125,18.52639825,10,9.00
24388,F,1.5125,1.1625,0.375,31.524644,9,10.00
24389,F,1.375,1.0625,0.375,21.829115,13,9.00
24390,M,1.7,1.3125,0.4375,48.7327905,17,8.00
24391,M,1.75,1.3375,0.475,50.121916,19,5.00
24392,M,1.675,1.2625,0.5125,37.081146,11,6.00
24393,M,1.35,1.0625,0.325,23.09066775,10,8.00
24394,I,1.15,0.8875,0.35,15.1102835,15,10.00
24395,M,1.175,0.9125,0.3,15.09610875,9,5.00
24396,M,1.525,1.2125,0.4125,32.41765325,13,7.00
24397,M,1.425,1.1125,0.375,24.81998725,11,10.00
24398,M,1.475,1.1875,0.375,24.5790165,9,9.00
24399,M,1.6375,1.3,0.475,42.921143,11,8.00
24400,I,1.5875,1.2125,0.4125,35.550273,10,8.00
24401,M,1.25,0.925,0.2625,18.2287285,9,10.00
24402,M,1.375,1.0625,0.325,23.983677,9,8.00
24403,M,1.6375,1.2625,0.425,36.3724085,17,7.00
24404,M,1.3125,1,0.375,20.97863,15,8.00
24405,F,1.6375,1.2625,0.525,36.060564,13,9.00
24406,F,1.625,1.3125,0.475,45.40172425,13,7.00
24407,M,1.375,1.0125,0.4375,26.46425825,8,6.00
24408,I,1.2625,1,0.3375,21.659018,13,7.00
24409,M,1.35,1.0375,0.375,28.42037375,15,7.00
24410,F,1.625,1.3125,0.425,37.15201975,16,5.00
24411,M,1.3875,1.025,0.3125,22.89222125,9,8.00
24412,M,1.425,1.1,0.3125,24.6357155,9,10.00
24413,F,1.7375,1.3375,0.4375,49.8100715,14,10.00
24414,M,1.4875,1.175,0.4375,30.730858,9,10.00
24415,M,1.6,1.275,0.5125,42.354153,14,10.00
24416,M,1.55,1.275,0.4125,33.8209535,20,8.00
24417,F,1.525,1.175,0.425,27.91008275,19,5.00
24418,I,0.4125,0.3,0.075,1.06310625,4,5.00
24419,I,0.8375,0.625,0.2,6.066793,5,9.00
24420,M,1.425,1.1375,0.4625,32.78619675,15,5.00
24421,M,1.3,0.875,0.3375,15.2236815,11,10.00
24422,I,1.5125,1.175,0.4125,29.766975,9,9.00
24423,F,1.5375,1.1875,0.425,33.0271675,9,5.00
24424,M,1.325,1.0375,0.3375,20.97863,14,10.00
24425,F,1.4875,1.175,0.3875,31.28367325,15,5.00
24426,M,1.525,1.175,0.3875,33.38153625,15,7.00
24427,I,1.1625,0.8875,0.3375,13.05494475,9,10.00
24428,I,1.4125,1.0875,0.425,24.36639525,15,7.00
24429,M,1.5125,1.1875,0.3875,30.7592075,13,5.00
24430,M,1.025,0.8125,0.3125,10.07824725,10,7.00
24431,M,1.625,1.2,0.4375,39.7743485,10,10.00
24432,M,1.55,1.225,0.3875,26.64853,10,9.00
24433,F,1.275,0.9875,0.3125,17.4349425,12,10.00
24434,F,1.4625,1.15,0.375,26.3933845,17,8.00
24435,M,1.15,0.9375,0.3,13.99047825,8,9.00
24436,F,1.525,1.175,0.425,29.937072,9,10.00
24437,M,1.3125,1.0125,0.3625,18.313777,12,8.00
24438,M,1.575,1.2625,0.4375,39.41997975,10,8.00
24439,I,0.9,0.6625,0.225,5.8116475,7,6.00
24440,I,1.2125,0.9125,0.3125,14.69921575,8,8.00
24441,F,1.375,1.0875,0.3375,20.921931,9,7.00
24442,M,1.35,1.0125,0.3375,20.0997955,12,10.00
24443,I,1.05,0.8125,0.25,10.02154825,7,9.00
24444,M,1.5625,1.2,0.4,35.13920525,8,5.00
24445,M,1.6125,1.25,0.4,33.8776525,11,7.00
24446,M,1.2875,0.9875,0.325,16.11669075,8,7.00
24447,I,1,0.775,0.25,9.1001895,9,5.00
24448,M,1.4625,1.15,0.475,25.3728025,17,10.00
24449,M,1.2375,0.95,0.375,23.81358,12,7.00
24450,I,0.875,0.675,0.225,6.50621025,6,8.00
24451,F,1.1,0.8625,0.275,12.68640125,7,8.00
24452,M,1.175,0.875,0.275,12.7289255,8,10.00
24453,I,1.375,1.0625,0.3125,24.437269,11,5.00
24454,M,1.675,1.275,0.475,38.20095125,10,9.00
24455,I,1.0875,0.8625,0.2875,11.12717875,8,8.00
24456,F,1.6,1.2375,0.4375,36.32988425,13,9.00
24457,F,1.75,1.3625,0.5,51.5110415,9,9.00
24458,F,1.275,0.95,0.3625,17.10892325,9,7.00
24459,M,1.35,1.0625,0.425,22.92057075,14,10.00
24460,M,1.4875,1.1375,0.3625,26.01066625,8,8.00
24461,F,1.4875,1.1875,0.3625,25.51455,9,10.00
24462,M,1.5,1.1875,0.4125,32.545226,10,5.00
24463,F,1.6,1.2875,0.425,41.8722115,10,10.00
24464,I,1.3375,1.05,0.325,17.22232125,9,6.00
24465,M,1.6125,1.3125,0.475,39.3774555,9,10.00
24466,M,1.6375,1.3,0.4,39.405805,12,5.00
24467,F,1.4625,1.15,0.4,26.2232875,11,8.00
24468,F,1.6625,1.3375,0.45,47.62716,11,10.00
24469,M,1.5,1.15,0.3875,28.689694,8,9.00
24470,I,1.275,0.9875,0.35,15.2236815,8,5.00
24471,F,1.45,1.1125,0.3875,22.736299,10,5.00
24472,F,1.5625,1.25,0.4125,33.225614,11,10.00
24473,I,1.4125,1.0875,0.4,22.4244545,11,8.00
24474,M,1.85,1.3875,0.5375,54.941331,14,7.00
24475,I,1.1125,0.875,0.275,12.3320325,8,8.00
24476,F,1.625,1.275,0.4375,41.8722115,9,8.00
24477,M,1.2125,0.925,0.375,15.80484625,11,9.00
24478,F,1.45,1.1125,0.3875,19.43358225,15,9.00
24479,F,1.6375,1.2875,0.5,38.22930075,12,5.00
24480,I,1.125,0.8375,0.3,11.169703,8,8.00
24481,M,1.55,1.2125,0.475,33.1972645,9,7.00
24482,M,1.425,1.1375,0.3875,33.89182725,23,8.00
24483,I,1.2125,0.8875,0.2875,18.01610725,8,6.00
24484,I,0.95,0.7,0.25,7.55514175,7,7.00
24485,F,1.8125,1.4375,0.4875,51.6827145,15,9.00
24486,M,1.375,1.0625,0.375,31.75144,8,5.00
24487,M,1.5875,1.2125,0.4125,35.088327,17,9.00
24488,M,1.45,1.1125,0.3625,25.52872475,15,5.00
24489,I,1.1,0.8875,0.225,12.14776075,7,6.00
24490,F,1.525,1.2,0.4125,32.6869735,11,9.00
24491,I,1.425,1.075,0.375,22.01338675,8,6.00
24492,M,1.15,0.9125,0.25,12.984071,9,6.00
24493,I,1.2,0.9,0.3125,17.70426275,8,7.00
24494,F,1.6375,1.2875,0.425,39.76017375,16,8.00
24495,M,1.4375,1.1875,0.4125,27.1871705,12,6.00
24496,M,1.5375,1.2125,0.3875,29.0582375,11,10.00
24497,F,1.2125,0.875,0.3625,14.458245,14,5.00
24498,M,1.675,1.3625,0.4875,43.318036,12,7.00
24499,M,1.7,1.375,0.475,41.560367,8,8.00
24500,M,1.925,1.575,0.5375,63.389482,11,8.00
24501,F,1.45,1.075,0.3875,23.40251225,9,5.00
24502,F,1.675,1.3125,0.475,41.5887165,11,6.00
24503,I,1.375,1.0375,0.3,18.370476,8,9.00
24504,F,1.475,1.125,0.375,28.02348075,9,6.00
24505,I,0.8125,0.6,0.175,4.252425,6,7.00
24506,M,1.675,1.3125,0.45,42.297454,10,10.00
24507,F,1.425,1.125,0.375,26.705229,9,5.00
24508,I,0.5875,0.4375,0.1,1.82854275,5,7.00
24509,F,1.2,0.95,0.3375,16.1308655,17,6.00
24510,M,1.6125,1.2,0.325,32.034935,9,7.00
24511,M,1.4,1.1375,0.3375,26.80445225,11,6.00
24512,I,1.0125,0.75,0.225,10.27669375,8,9.00
24513,F,1.6125,1.3125,0.4625,38.9238635,11,6.00
24514,M,1.65,1.3125,0.425,40.78075575,21,7.00
24515,F,1.575,1.25,0.4125,36.117263,9,8.00
24516,I,0.8875,0.65,0.2125,5.443104,9,10.00
24517,I,1.15,0.9125,0.3125,13.56523575,8,9.00
24518,F,1.7375,1.3375,0.5125,51.992983,10,6.00
24519,M,1.275,0.9625,0.2875,17.70426275,10,10.00
24520,F,1.325,1.0625,0.3875,21.9708625,11,6.00
24521,M,1.6125,1.25,0.45,36.4291075,10,6.00
24522,F,1.425,1.0875,0.3,25.684647,8,6.00
24523,F,1.425,1.1375,0.3375,24.79163775,16,7.00
24524,M,1.2625,0.95,0.3875,33.8776525,9,5.00
24525,F,1.6125,1.25,0.4,34.40211825,9,10.00
24526,I,1,0.75,0.225,8.4198015,7,10.00
24527,F,1.7125,1.325,0.5,50.53298375,16,6.00
24528,I,0.9625,0.75,0.3125,8.34892775,7,8.00
24529,I,1.275,0.9875,0.35,28.236102,10,6.00
24530,I,1.25,0.9375,0.325,16.726205,9,8.00
24531,I,0.7,0.5125,0.2,3.30271675,7,7.00
24532,I,0.525,0.375,0,1.09145575,4,10.00
24533,I,1.45,1.0625,0.35,20.31241675,8,10.00
24534,F,1.4875,1.125,0.3875,27.71163625,9,8.00
24535,F,1.7875,1.4,0.5125,56.9541455,10,7.00
24536,M,1.5125,1.2375,0.4125,29.5118295,14,8.00
24537,F,1.175,0.875,0.425,12.71475075,10,10.00
24538,F,1.35,1.0125,0.3375,20.9502805,9,8.00
24539,M,1.6,1.2625,0.4375,36.7693015,20,9.00
24540,M,1.475,1.1875,0.3625,28.02348075,13,8.00
24541,I,1,0.75,0.25,9.42620875,8,6.00
24542,I,1.2,0.9375,0.325,14.118051,9,6.00
24543,M,1.4625,1.1875,0.425,30.05047,9,5.00
24544,M,1.55,1.25,0.4,30.43318825,11,7.00
24545,F,1.8,1.4125,0.475,49.78075575,10,6.00
24546,F,1.7375,1.325,0.425,53.28288525,11,10.00
24547,M,0.925,0.675,0.2375,6.70465675,12,9.00
24548,F,1.4375,1.1375,0.375,27.78251,13,7.00
24549,F,1.6625,1.2875,0.5,39.41997975,11,10.00
24550,M,1.2625,1.0125,0.3125,18.75319425,8,5.00
24551,M,1.575,1.2,0.4,32.7436725,17,5.00
24552,I,1.025,0.7625,0.2375,10.149121,8,5.00
24553,M,0.925,0.6875,0.225,6.180191,8,9.00
24554,F,1.5625,1.2875,0.4625,32.375129,10,7.00
24555,M,1.4625,1.1625,0.375,28.22192725,9,8.00
24556,I,0.85,0.6625,0.2125,5.10291,6,5.00
24557,M,1.25,0.95,0.3125,16.68368075,7,9.00
24558,F,1.675,1.3125,0.4375,40.83745475,11,5.00
24559,M,1.475,1.175,0.4,30.0221205,13,9.00
24560,M,1.4375,1.0625,0.4,26.20911275,10,6.00
24561,F,1.45,1.1375,0.3625,26.32251075,10,10.00
24562,I,1.4375,1.175,0.3125,25.72717125,9,8.00
24563,M,0.9875,0.7375,0.25,7.2858215,6,10.00
24564,M,1.45,1.175,0.4125,32.2333815,10,10.00
24565,M,1.5625,1.1875,0.375,33.3673615,10,10.00
24566,F,1.55,1.1625,0.375,29.98696975,13,9.00
24567,I,1.35,1.0625,0.375,19.97222275,10,8.00
24568,I,0.525,0.375,0.1375,1.13398,6,10.00
24569,I,0.9,0.675,0.2,5.556502,7,8.00
24570,F,1.6375,1.3125,0.4625,44.4803655,13,9.00
24571,I,0.975,0.725,0.25,8.46232575,7,5.00
24572,I,1.225,0.925,0.25,13.31009025,8,7.00
24573,F,1.375,1.0625,0.375,23.926978,11,10.00
24574,M,1.6875,1.325,0.475,49.572222,14,9.00
24575,I,1.225,1.05,0.375,21.318824,10,5.00
24576,F,1.675,1.25,0.475,39.9444455,13,7.00
24577,M,1.425,1.125,0.3875,28.16522825,10,8.00
24578,M,1.55,1.2375,0.375,32.95629375,10,9.00
24579,M,1.575,1.2875,0.475,36.58502975,11,8.00
24580,F,1.4,1.1125,0.3625,27.68328675,13,8.00
24581,M,1.475,1.05,0.3625,28.066005,11,7.00
24582,I,1.2625,0.9625,0.2875,16.0741665,9,5.00
24583,M,0.9375,0.6875,0.225,6.10931725,10,6.00
24584,I,1.425,1.125,0.4375,23.40251225,8,7.00
24585,F,1.2625,1.05,0.3625,26.2799865,9,10.00
24586,M,1.375,1.0125,0.35,25.060958,11,8.00
24587,M,1.7875,1.375,0.4375,40.92250325,17,9.00
24588,M,1.3375,1.0625,0.325,21.8007655,8,8.00
24589,M,1.3375,1.0125,0.3375,26.01066625,8,7.00
24590,F,1.3,0.9625,0.3875,15.74814725,9,8.00
24591,M,1.6625,1.2625,0.4625,38.42774725,11,7.00
24592,F,1.525,1.25,0.4375,34.983283,11,9.00
24593,M,1.5,1.1625,0.45,27.385617,11,5.00
24594,F,1.475,1.1625,0.425,29.540179,13,9.00
24595,I,0.8125,0.6,0.2,4.706017,6,8.00
24596,I,1.0625,0.8125,0.2,8.8733935,6,6.00
24597,F,1.7625,1.325,0.4375,51.5110415,10,6.00
24598,M,0.7,0.5125,0.175,3.1467945,11,8.00
24599,I,1.3125,1.025,0.3125,15.025235,8,7.00
24600,F,1.725,1.35,0.5125,47.8823055,10,8.00
24601,M,1.425,1.1125,0.3875,27.6974615,8,8.00
24602,F,1.2625,0.95,0.4125,31.51046925,13,5.00
24603,I,0.8,0.6125,0.1875,4.3941725,6,7.00
24604,M,1.6375,1.325,0.475,38.76794125,11,8.00
24605,M,1.375,1.0625,0.4,27.9242575,15,8.00
24606,I,1.2,0.925,0.325,15.5071765,8,7.00
24607,I,1.275,1.0125,0.3125,17.53416575,9,5.00
24608,F,1.45,1.0875,0.3625,25.741346,11,7.00
24609,F,1.625,1.2,0.3875,35.98969025,10,9.00
24610,M,0.9625,0.75,0.25,8.9867915,10,6.00
24611,F,1.5125,1.1625,0.4,34.37376875,10,6.00
24612,M,1.6125,1.2,0.4125,39.56172725,11,8.00
24613,F,1.6125,1.275,0.4875,37.15201975,13,5.00
24614,M,1.4375,1.1375,0.4875,37.1094955,21,6.00
24615,M,1.4125,1.0625,0.3625,26.26581175,9,6.00
24616,M,1.3125,1.0125,0.3125,18.6256215,9,8.00
24617,F,1.6125,1.2625,0.425,36.4291075,8,9.00
24618,I,1.175,0.9125,0.3,13.04077,6,9.00
24619,I,1.025,0.7625,0.2625,9.51125725,8,7.00
24620,M,1.3375,1.0625,0.3875,25.95396725,9,7.00
24621,I,1.3125,1.0625,0.35,22.5378525,11,7.00
24622,F,1.4375,1.1875,0.475,32.715323,9,7.00
24623,M,1.4125,1.075,0.35,23.85610425,8,8.00
24624,M,0.9,0.6875,0.25,6.406987,7,10.00
24625,F,1.3625,1.0875,0.4625,27.499015,10,8.00
24626,M,1.5125,1.175,0.475,31.70891575,8,6.00
24627,M,1.4625,1.175,0.3875,28.122704,13,6.00
24628,M,1.65,1.325,0.45,44.4803655,13,10.00
24629,F,1.3,1,0.325,16.42853525,7,6.00
24630,I,0.725,0.5625,0.2,4.309124,5,7.00
24631,F,1.5,1.225,0.3875,37.1094955,17,5.00
24632,I,1.3125,1,0.3125,18.824068,8,10.00
24633,I,0.9625,0.7375,0.225,8.618248,7,7.00
24634,M,1.5,1.1875,0.4,31.6096925,10,6.00
24635,I,1.2125,0.9,0.3125,14.81261375,7,7.00
24636,I,1.2125,0.9,0.3125,12.757275,9,10.00
24637,M,1.6875,1.275,0.475,51.5110415,11,8.00
24638,I,0.5125,0.4375,0.1,1.8994165,5,5.00
24639,M,1.425,1.075,0.325,22.5945515,8,10.00
24640,M,1.5625,1.2375,0.4375,36.81182575,10,6.00
24641,F,1.45,1.125,0.35,24.99008425,12,5.00
24642,F,1.3125,1,0.35,20.25571775,10,6.00
24643,M,1.55,1.2625,0.4375,36.117263,10,5.00
24644,F,1.5625,1.2875,0.3875,37.194544,11,5.00
24645,F,1.55,1.2125,0.4125,33.29648775,14,5.00
24646,I,1.2125,0.95,0.3375,15.195332,9,8.00
24647,F,1.2,0.9625,0.2625,18.2854275,9,7.00
24648,F,1.5625,1.25,0.45,36.61337925,14,7.00
24649,I,0.75,0.575,0.175,3.41611475,6,6.00
24650,I,0.9875,0.775,0.25,7.04485075,7,8.00
24651,I,1.3,1.025,0.35,16.42853525,9,5.00
24652,M,1.2625,1,0.325,17.7184375,9,9.00
24653,F,1.625,1.275,0.4,43.02036625,12,7.00
24654,F,1.6125,1.2875,0.3875,39.405805,10,10.00
